Approved symbol	Previous symbols	RefSeq IDs	NCBI Gene ID(supplied by NCBI)
CDH15	CDH3, CDH14	NM_004933	1013
CDH16		NM_004062	1014
CDH17		NM_004063	1015
CDH18		NM_004934	1016
CDH18-AS1			102725105
CDH19		NM_021153	28513
CDH20		NM_031891	28316
CDH21			
CDH22	C20orf25	NM_021248	64405
CDH23	DFNB12, USH1D	NM_052836	64072
CDH23-AS1	C10orf106, NCRNA00223		102723377
CDH24		NM_022478	64403
CDH25			
CDH26		NM_177980	60437
CDHR1	PCDH21	NM_033100	92211
CDHR2	PCDH24	NM_017675	54825
CDHR3		NM_152750	222256
CDHR4	CDH29	NM_001007540	389118
CDHR5	MUCDHL, MUPCDH	NM_021924	53841
CDIP1	C16orf5	NM_013399	29965
CDIPT		NM_006319	10423
CDIPTOSP	CDIPT-AS1	NR_015396	440356
CDK1	CDC2	NM_001786	983
CDK2			1017
CDK2AP1		NM_004642	8099
CDK2AP2		NM_005851	10263
CDK2AP2P1		NG_021654	100289027
CDK2AP2P2			107133486
CDK2AP2P3		NG_006137	401525
CDK3		NM_001258	1018
CDK4		NM_000075	1019
CDK4P1	CDK4PS		359941
CDK5			1020
CDK5P1	CDK5PS	NG_022432	392265
CDK5R1		NM_003885	8851
CDK5R2		NM_003936	8941
CDK5RAP1	C20orf34	NM_016408	51654
CDK5RAP2	MCPH3	NM_018249	55755
CDK5RAP3		NM_176096	80279
CDK6			1021
CDK6-AS1		NR_110086	101927497
CDK7		NM_001799	1022
CDK7P1	CDK7PS	NG_001572	220786
CDK8			1024
CDK8P1	CDK8PS		100419916
CDK8P2			100287419
CDK9	CDC2L4		1025
CDK10			8558
CDK11A	CDC2L3, CDC2L2	NM_024011	728642
CDK11B	CDC2L1	NM_001787	984
CDK12	CRKRS	NM_016507	51755
CDK13	CDC2L5	NM_003718	8621
CDK14	PFTK1	NM_012395	5218
CDK15	ALS2CR7, PFTK2		65061
CDK16	PCTK1	NM_006201	5127
CDK17	PCTK2	NM_002595	5128
CDK18	PCTK3	NM_002596	5129
CDK19	CDK11, CDC2L6	NM_015076	23097
CDK20	CCRK	NM_012119	23552
CDKAL1		NM_017774	54901
CDKL1			8814
CDKL2		NM_003948	8999
CDKL3		NM_001113575	51265
CDKL4		NM_001346911	344387
CDKL5	STK9	NM_003159	6792
CDKN1			
CDKN1A	CDKN1	NM_078467	1026
CDKN1A-AS1			100861512
CDKN1B		NM_004064	1027
CDKN1C	BWCR, BWS	NM_000076	1028
CDKN2A	CDKN2, MLM	NM_000077	1029
CDKN2A-DT	C9orf53, CDKN2A-AS1	NR_024274	51198
CDKN2AIP		NM_017632	55602
CDKN2AIPNL		NM_080656	91368
CDKN2AIPNLP1			391169
CDKN2AIPNLP2			100128579
CDKN2AIPNLP3			100874397
CDKN2B		NM_004936	1030
CDKN2B-AS1	CDKN2BAS	NR_003529	100048912
CDKN2C		NM_001262	1031
CDKN2D		NM_079421	1032
CDKN3			1033
CDL1	CDL		
CDL2			1023
CDN1			
CDNF	ARMETL1	NM_001029954	441549
CDO1		NM_001801	1036
CDON		NM_016952	50937
CDPD1			
CDPF1	C22orf40	NM_207327	150383
CDPX1			
CDPX2			
CDR1	CDR	NM_004065	1038
CDR1-AS			103611090
CDR2			1039
CDR2L		NM_014603	30850
CDRT1	FBXW10P1	NM_006382	374286
CDRT2			94144
CDRT3		NR_146601	94145
CDRT4		NM_173622	284040
CDRT5			94148
CDRT7			94150
CDRT8			94151
CDRT10			94153
CDRT11			94154
CDRT12			94155
CDRT13			94156
CDRT15		NM_001007530	146822
CDRT15L2		NM_001190790	256223
CDRT15P1	CDRT15P		94158
CDRT15P2	CDRT15L1	XM_932309	644694
CDS1			1040
CDS2			8760
CDSN			1041
CDSP			
CDT1		NM_030928	81620
CDV3		NM_017548	55573
CDV3P1			100129736
CDX1		NM_001804	1044
CDX2	CDX3		1045
CDX3			
CDX4		NM_005193	1046
CDY1		NM_170723	9085
CDY1B		NM_001003894	253175
CDY2A	CDY2	NM_004825	9426
CDY2B		NM_001001722	203611
CDY3P		NG_003131	286556
CDY4P		NG_003138	386729
CDY5P		NG_003132	378008
CDY6P		NG_003139	386730
CDY7P		NG_003140	386731
CDY8P		NG_003141	386732
CDY9P		NG_003133	378011
CDY10P		NG_003130	140043
CDY11P		NG_003154	378014
CDY12P		NG_003142	386734
CDY13P		NG_003143	386735
CDY14P		NG_003144	386736
CDY15P		NG_003145	386737
CDY16P		NG_003146	386738
CDY17P		NG_003147	386739
CDY18P		NG_003148	386740
CDY19P		NG_003149	386741
CDY20P		NG_003150	386742
CDY21P		NG_003151	386743
CDY22P		NG_003152	386744
CDY23P		NG_003153	386745
CDY24P			
CDYL		NM_004824	9425
CDYL-AS1			101927913
CDYL2		NM_152342	124359
CDYLP1			100132260
CDYP			
CEA			
CEACAM1	BGP	NM_001712	634
CEACAM3	CGM1	NM_001815	1084
CEACAM4	CGM7	NM_001817	1089
CEACAM5	CEA	NM_004363	1048
CEACAM6	NCA		4680
CEACAM7	CGM2	NM_006890	1087
CEACAM8	CGM6		1088
CEACAM16		NM_001039213	388551
CEACAM18			729767
CEACAM19		NM_020219	56971
CEACAM20		NM_198444	125931
CEACAM21		NM_033543	90273
CEACAM22P		NR_027754	388550
CEACAMP1	CGM8	NG_001096	1090
CEACAMP2	CGM9	NG_001097	1091
CEACAMP3	CGM10, CEACAM24P	NG_001098	1092
CEACAMP4	CGM11	NG_001099	1093
CEACAMP5	CGM12	NG_001094	1085
CEACAMP6	CGM13	NG_001100	1094
CEACAMP7	CGM14	NG_001101	1095
CEACAMP8	CGM15	NG_001102	1096
CEACAMP9	CGM16	NG_001103	1097
CEACAMP10	CGM17	NG_001104	1098
CEACAMP11	CGM18	NG_001095	1086
CEAL1			
CEBPA	CEBP	NM_004364	1050
CEBPA-DT	CEBPA-AS1	NR_026887	80054
CEBPB	TCF5	NM_005194	1051
CEBPB-AS1		NR_125739	101927559
CEBPD		NM_005195	1052
CEBPE		NM_001805	1053
CEBPG		NM_001806	1054
CEBPZ		NM_005760	10153
CEBPZOS	CEBPZ-AS1	NR_037879	100505876
CECR			1055
CECR2		NM_031413	27443
CECR3			27442
CECR7		NR_015352	100130418
CECR9			30847
CEL			1056
CELA1	ELA1	NM_001971	1990
CELA2A		NM_033440	63036
CELA2B		NM_015849	51032
CELA3A	ELA3A	NM_005747	10136
CELA3B	ELA3B	NM_007352	23436
CELF1	CUGBP1	NM_006560	10658
CELF2	CUGBP2		10659
CELF2-AS1	C10orf31	XR_109007	414196
CELF2-AS2		NR_046108	439950
CELF2-DT		NR_120637	101928322
CELF3	TNRC4	NM_007185	11189
CELF4	BRUNOL4	NM_020180	56853
CELF5	BRUNOL5	NM_021938	60680
CELF6	BRUNOL6	NM_052840	60677
CELIAC2			317782
CELIAC3			
CELIAC4			
CELP	CELL	NM_001808	1057
CELSR1		NM_014246	9620
CELSR2	EGFL2	NM_001408	1952
CELSR3	EGFL1	NM_001407	1951
CEMIP	KIAA1199	NM_018689	57214
CEMIP2	TMEM2	NM_013390	23670
CEMP1		NM_001048212	752014
CEND1		NM_016564	51286
CEND1P1			122631
CEND1P2			724034
CENPA		NM_001809	1058
CENPB		NM_001810	1059
CENPBD1		NM_145039	92806
CENPBD1P1		NR_026052	65996
CENPC	CENPC1		1060
CENPC			
CENPCP1	CENPC, CENPC2, CENPC1P1	NG_003044	1061
CENPE			1062
CENPF		NM_016343	1063
CENPH			64946
CENPI	FSHPRH1	NM_006733	2491
CENPIP1			100419337
CENPJ	MCPH6	NM_018451	55835
CENPK		NM_022145	64105
CENPL	C1orf155	NM_033319	91687
CENPM	C22orf18	NM_024053	79019
CENPN	C16orf60	NM_018455	55839
CENPO		NM_024322	79172
CENPP		NM_001012267	401541
CENPQ	C6orf139	NM_018132	55166
CENPS	APITD1, MHF1	NM_199294	378708
CENPS-CORT	APITD1-CORT	NM_198544.3	100526739
CENPT	C16orf56	NM_025082	80152
CENPU	MLF1IP	NM_024629	79682
CENPUP1			100130384
CENPUP2			100419930
CENPV	PRR6	NM_181716	201161
CENPVL1	CENPVP1	NM_001355277	389857
CENPVL2	CENPVP2	NM_001355278	441495
CENPVL3	CENPVP3	NM_001355276	347549
CENPW	C6orf173		387103
CENPX	STRA13, MHF2	NM_144998	201254
CEP19	C3orf34	NM_032898	84984
CEP41	TSGA14	NM_018718	95681
CEP44	KIAA1712	NM_030633	80817
CEP55	C10orf3	NM_018131	55165
CEP57		NM_014679	9702
CEP57L1	C6orf182	NM_173830	285753
CEP57L1P1	C10orf37, C6orf182P	NG_005976	221017
CEP63		NM_025180	80254
CEP68	KIAA0582	NM_015147	23177
CEP70		NM_024491	80321
CEP72		NM_018140	55722
CEP76	C18orf9	NM_024899	79959
CEP78	C9orf81	NM_001098802	84131
CEP83	CCDC41	NM_016122	51134
CEP83-DT	CCDC41-AS1, CEP83-AS1	NR_027035	144486
CEP85	CCDC21	NM_022778	64793
CEP85L	C6orf204	NM_001042475	387119
CEP89	CCDC123	NM_032816	84902
CEP95	CCDC45	NM_138363	90799
CEP97	LRRIQ2	NM_024548	79598
CEP104	KIAA0562	NM_014704	9731
CEP112	CCDC46	NM_145036	201134
CEP120	CCDC100	NM_153223	153241
CEP126	KIAA1377	NM_020802	57562
CEP128	C14orf61, C14orf145	NM_152446	145508
CEP131	AZI1	NM_014984	22994
CEP135	KIAA0635, CEP4	NM_025009	9662
CEP152		NM_014985	22995
CEP162	C6orf84, KIAA1009	NM_014895	22832
CEP164		NM_014956	22897
CEP164P1		NG_032712	100289237
CEP170	KIAA0470	NM_014812	9859
CEP170B	KIAA0284	NM_001112726	283638
CEP170P1	KIAA0470L, CEP170L	NR_003135.2	645455
CEP192		NM_032142	55125
CEP250	CEP2	NM_007186	11190
CEP250-AS1			102725201
CEP290		NM_025114	80184
CEP295	KIAA1731	NM_033395	85459
CEP295NL	KIAA1731NL		100653515
CEP350		NM_014810	9857
CEPA			
CEPO			
CEPT1		NM_006090	10390
CER1		NM_005454	9350
CERCAM	CEECAM1	NM_016174	51148
CERK		NM_022766	64781
CERKL	RP26		375298
CERNA1		NR_102751	100129973
CERNA2		NR_134505	642934
CERNA3			105375847
CEROX1		NR_036442	115804232
CERS1	LASS1		10715
CERS2	LASS2	NM_022075	29956
CERS3	LASS3	NM_178842	204219
CERS3-AS1		NR_120374	102723320
CERS4	LASS4	NM_024552	79603
CERS5	LASS5	NM_147190	91012
CERS6	LASS6	NM_203463	253782
CERS6-AS1		NR_045786	100861402
CERT1	COL4A3BP	NM_005713	10087
CES1		NM_001266	1066
CES1P1	CES4	NR_003276	51716
CES1P2			390732
CES2		NM_003869	8824
CES3		NM_024922	23491
CES4A	CES8	NM_173815	283848
CES5A	CES7	NM_145024	221223
CES5AP1			649264
CETN1	CETN	NM_004066	1068
CETN2	CALT	NM_004344	1069
CETN3		NM_004365	1070
CETN4P		NR_024041	729338
CETP		NM_000078	1071
CF			
CFAG			
CFAP20	C16orf80	NM_013242	29105
CFAP36	CCDC104	NM_080667	112942
CFAP43	C10orf79, WDR96	NM_025145	80217
CFAP44	WDR52	NM_018338	55779
CFAP44-AS1	WDR52-AS1		100874029
CFAP45	CCDC19	NM_012337	25790
CFAP46	C10orf123, C10orf124, C10orf93, C10orf92, TTC40	NM_001200049	54777
CFAP47	CXorf59, CXorf22, CXorf30, CHDC2	NM_001304548	286464
CFAP52	WDR16	NM_145054	146845
CFAP53	CCDC11	NM_145020	220136
CFAP54	C12orf63, C12orf55	NM_001306084	144535
CFAP57	WDR65	NM_152498	149465
CFAP58	C10orf80, CCDC147	NM_001008723	159686
CFAP58-DT	CCDC147-AS1, CFAP58-AS1	NR_108036	100505869
CFAP61	C20orf26	NM_015585	26074
CFAP61-AS1			101929575
CFAP65	CCDC108	NM_194302	255101
CFAP69	C7orf63	NM_001039706	79846
CFAP70	TTC18	NM_145170	118491
CFAP73	CCDC42B	NM_001144872	387885
CFAP74	C1orf222, KIAA1751		85452
CFAP77	C9orf171	NM_207417	389799
CFAP97	KIAA1430	NM_020827	57587
CFAP97D1	C17orf105	NM_001136483	284067
CFAP97D2			101929355
CFAP99		NM_001193282	402160
CFAP100	CCDC37	NM_182628	348807
CFAP126	C1orf192	NM_001013625	257177
CFAP157	C9orf117	NM_001012502	286207
CFAP161	C15orf26	NM_173528	161502
CFAP206	C6orf165	NM_178823	154313
CFAP221			200373
CFAP298	C21orf48, C21orf59	NM_021254	56683
CFAP299	C4orf22	NM_152770	255119
CFAP300	C11orf70	NM_032930	85016
CFAP410	C21orf2	NM_004928	755
CFB	BFD, BF	NM_001710	629
CFC1	HTX2	NM_032545	55997
CFC1B		NM_001079530	653275
CFD	DF, PFD	NM_001928	1675
CFD1			
CFDP1		NM_006324	10428
CFH	HF, HF1, HF2	NM_000186	3075
CFHR1	HFL1, CFHL1, CFHR1P, HFL2, CFHL1P	NM_002113	3078
CFHR1P	HFL2, CFHL1P, CFHR1P		
CFHR2	HFL3, CFHL2	NM_005666	3080
CFHR3	CFHL3	NM_021023	10878
CFHR4	CFHL4	NM_006684	10877
CFHR5	CFHL5	NM_030787	81494
CFI	IF	NM_000204	3426
CFL1	CFL	NM_005507	1072
CFL1P1	CFLP1	NG_004788	142913
CFL1P2	CFLL2, CFLP2	XR_017560	391039
CFL1P3	CFLL3, CFLP3		100131874
CFL1P4	CFLL4, CFLP4		645980
CFL1P5	CFLL1, CFLP5		1074
CFL1P6	CFLP6		390996
CFL1P7			100505919
CFL1P8			100873812
CFL2		NM_138638	1073
CFLAR	CASP8AP1	NM_003879	8837
CFLAR-AS1	ALS2CR10	NR_040030	65072
CFM1			10167
CFM2			23727
CFNS			
CFP	PFC	NM_002621	5199
CFTR	CF, ABCC7	NM_000492	1080
CFTR-AS1		NR_149084	111082987
CFTRP1	C20orf189	NG_002787	140871
CFTRP2			107080633
CFTRP3			106481718
CGA		NM_000735	1081
CGAS	C6orf150, MB21D1	NM_138441	115004
CGB1		NM_033377	114335
CGB2		NM_033378	114336
CGB3	CGB	NM_000737	1082
CGB5		NM_033043	93659
CGB7		NM_033142	94027
CGB8		NM_033183	94115
CGF1			1083
CGGBP1		NM_001008390	8545
CGM1			
CGM2			
CGM6			
CGM7			
CGM8			
CGM9			
CGM10			
CGM11			
CGM12			
CGM13			
CGM14			
CGM15			
CGM16			
CGM17			
CGM18			
CGN		NM_020770	57530
CGNL1		NM_032866	84952
CGREF1		NM_006569	10669
CGRRF1		NM_006568	10668
CGS23			
CGT			
CH25H		NM_003956	9023
CHAC1		NM_024111	79094
CHAC2		NM_001008708	494143
CHAD		NM_001267	1101
CHADL		NM_138481	150356
CHAER1			105377667
CHAF1A		NM_005483	10036
CHAF1B		NM_005441	8208
CHAMP1	C13orf8, ZNF828	NM_032436	283489
CHAT		NM_020549	1103
CHCHD1	C10orf34	NM_203298	118487
CHCHD2	C7orf17	NM_016139	51142
CHCHD2P1			100874506
CHCHD2P2			728324
CHCHD2P3			100128110
CHCHD2P4			100874507
CHCHD2P5			100874508
CHCHD2P6			645317
CHCHD2P7			100874509
CHCHD2P8			646630
CHCHD2P9	C9orf49, CHCHD9	NG_009939	645345
CHCHD2P10			392221
CHCHD2P11			101060040
CHCHD3		NM_017812	54927
CHCHD3P1		NG_022161	338591
CHCHD3P2		NG_024109	100422354
CHCHD3P3		NG_030193	646572
CHCHD4		NM_144636	131474
CHCHD4P1			645862
CHCHD4P2			100128657
CHCHD4P3			106480792
CHCHD4P4			728143
CHCHD4P5			106479039
CHCHD5	C2orf9	NM_032309	84269
CHCHD6		NM_032343	84303
CHCHD7		NM_024300	79145
CHCHD10	C22orf16	NM_213720	400916
CHD1		NM_001270	1105
CHD1L		NM_004284	9557
CHD2		NM_001271	1106
CHD3		NM_001005273	1107
CHD4		NM_001273	1108
CHD5		NM_015557	26038
CHD6			84181
CHD7	CRG	NM_017780	55636
CHD8	HELSNF1	NM_020920	57680
CHD9		NM_025134	80205
CHDH		NM_018397	55349
CHDR			
CHE1			
CHE2			
CHED1			
CHED2			
CHEK1		NM_001274	1111
CHEK2	RAD53	NM_001005735	11200
CHEK2P1	CHEK2L1	NG_029074	100133012
CHEK2P2		NR_038836	646096
CHEK2P3			100873791
CHEK2P4			106479021
CHEK2P5			106479022
CHEL1			
CHEL3			
CHERP		NM_006387	10523
CHES1L1			
CHFR			55743
CHGA		NM_001275	1113
CHGB	SCG1	NM_001819	1114
CHH			
CHI3L1		NM_001276	1116
CHI3L2		NM_004000	1117
CHIA			27159
CHIAP1			100420342
CHIAP2			149620
CHIAP3			100996315
CHIC1			53344
CHIC2			26511
CHID1		NM_023947	66005
CHIT1		NM_003465	1118
CHKA	CHK	NM_001277	1119
CHKB	CHKL	NM_005198	1120
CHKB-CPT1B		NR_027928.2	386593
CHKB-DT	CHKB-AS1	NR_110536	100144603
CHL1		NM_006614	10752
CHL1-AS1			101927193
CHL1-AS2		NR_144486	101927174
CHM	TCD, DXS540	NM_000390	1121
CHML		NM_001821	1122
CHMP1A	PRSM1, PCOLN3	NM_002768	5119
CHMP1AP1		NG_007362	646597
CHMP1B		NM_020412	57132
CHMP1B-AS1			109729129
CHMP1B2P			101060146
CHMP2A		NM_014453	27243
CHMP2B		NM_014043	25978
CHMP3	VPS24	NM_016079	51652
CHMP4A	C14orf123	NM_014169	29082
CHMP4B	C20orf178		128866
CHMP4BP1			100307126
CHMP4C		NM_152284	92421
CHMP5	C9orf83, SNF7DC2	NM_016410	51510
CHMP6		NM_024591	79643
CHMP7		NM_152272	91782
CHN			
CHN1	CHN, DURS2	NM_001822	1123
CHN2		NM_004067	1124
CHN2-AS1		NR_120522	102724484
CHODL	C21orf68	NM_024944	140578
CHODL-AS1	C21orf39, NCRNA00157		54075
CHORDC1		NM_012124	26973
CHORDC2P		NG_002473	317775
CHP1		NM_007236	11261
CHP2		NM_022097	63928
CHPF		NM_024536	79586
CHPF2		NM_019015	54480
CHPT1		NM_020244	56994
CHR			
CHR39A			
CHR39B			
CHR39C			
CHRAC1		NM_017444	54108
CHRD		NM_003741	8646
CHRDL1	MGC1	NM_145234	91851
CHRDL2			25884
CHRFAM7A		NM_148911	89832
CHRFAM7AP1		NG_004755	359999
CHRFAM7AP2		NG_002919	359998
CHRM1		NM_000738	1128
CHRM2			1129
CHRM3		NM_000740	1131
CHRM3-AS1			100873984
CHRM3-AS2			100506915
CHRM4		NM_000741	1132
CHRM5			1133
CHRNA1	CHRNA		1134
CHRNA2			1135
CHRNA3			1136
CHRNA4	EBN, EBN1		1137
CHRNA5			1138
CHRNA6			8973
CHRNA7			1139
CHRNA9			55584
CHRNA10			57053
CHRNB1	CHRNB		1140
CHRNB2		NM_000748	1141
CHRNB3			1142
CHRNB4			1143
CHRND	ACHRD		1144
CHRNE			1145
CHRNG	ACHRG	NM_005199	1146
CHROMR	PRKRA-AS1	NR_110204	101927027
CHS1			
CHST1		NM_003654	8534
CHST2		NM_004267	9435
CHST3		NM_004273	9469
CHST4		NM_005769	10164
CHST5		NM_012126	23563
CHST6	MCDC1	NM_021615	4166
CHST7		NM_019886	56548
CHST8		NM_022467	64377
CHST9		NM_031422	83539
CHST10		NM_004854	9486
CHST11		NM_018413	50515
CHST12		NM_018641	55501
CHST13		NM_152889	166012
CHST14	D4ST1	NM_130468	113189
CHST15		NM_015892	51363
CHSY1		NM_014918	22856
CHSY3		NM_175856	337876
CHTF8		NM_017804	54921
CHTF8P1	CHTF8P		677883
CHTF18	C16orf41	NM_022092	63922
CHTOP	C1orf77	NM_015607	26097
CHUK	TCF16	NM_001278	1147
CHURC1	C14orf52	NM_145165	91612
CHURC1-FNTB			100529261
CIAO1	WDR39	NM_004804	9391
CIAO2A	FAM96A	NM_032231	84191
CIAO2B	FAM96B	NM_016062	51647
CIAO3	NARFL	NM_022493	64428
CIAPIN1		NM_020313	57019
CIAPIN1P			728599
CIART	C1orf51	NM_144697	148523
CIB1			10519
CIB2	DFNB48, USH1J	NM_006383	10518
CIB3		NM_054113	117286
CIB4			130106
CIC			23152
CICP1		NG_002935	360017
CICP2		NG_002934	360016
CICP3			100132630
CICP4			100132920
CICP5			730978
CICP6		NG_028737	100507251
CICP7		NG_028822	100288667
CICP8			442676
CICP9		NG_025428	100420293
CICP10		NG_021554	100462787
CICP11			100288904
CICP12		NG_022557	100420224
CICP13			728615
CICP14			100130600
CICP15			100507648
CICP16		NG_022032	100420203
CICP17			642663
CICP18			646070
CICP19		NG_028701	100506706
CICP20			100129050
CICP21			100420263
CICP22			100288083
CICP23			100505953
CICP24			107986730
CICP25			100289383
CICP26			648262
CICP27			100420257
CICP28			100287136
CIDEA		NM_001279	1149
CIDEB			27141
CIDEC		NM_022094	63924
CIDECP1	CIDECP		152302
CIDX			
CIITA	MHC2TA	NM_000246	4261
CILD2			
CILP		NM_003613	8483
CILP2		NM_153221	148113
CINP		NM_032630	51550
CIP2A	KIAA1524	NM_020890	57650
CIPC	KIAA1737	NM_033426	85457
CIPO			
CIR1		NM_004882	9541
CIR1P1			100131740
CIR1P2			100131828
CIR1P3			106480783
CIRBP		NM_001280	1153
CIRBP-AS1	C19orf23	NR_027271	148046
CISD1	C10orf70, ZCD1	NM_018464	55847
CISD1P1	ZCD1B, CISD1B	NG_005172	130500
CISD2	ZCD2, WFS2	NM_001008388	493856
CISD3			284106
CISH		NM_145071	1154
CISTR		NR_104332	102216268
CIT		NM_007174	11113
CITED1	MSG1	NM_004143	4435
CITED2			10370
CITED4		NM_133467	163732
CIZ1		NM_012127	25792
CJD			
CKAP2			26586
CKAP2L		NM_152515	150468
CKAP2LP1			100533711
CKAP2P1			100420763
CKAP4			10970
CKAP5		NM_014756	9793
CKB	CKBB		1152
CKBE			1156
CKBP1		NG_001535	1157
CKLF	CKLF1	NM_016326	51192
CKLF-CMTM1			100529251
CKM	CKMM		1158
CKMT1A	CKMT1		548596
CKMT1B	CKMT, CKMT1	NM_020990	1159
CKMT2		NM_001825	1160
CKMT2-AS1		NR_034121	100131067
CKN1			
CKN2			
CKS1B		NM_001826	1163
CKS1BP1	CKS1BP	NG_002475	317780
CKS1BP2		NG_001578	246714
CKS1BP3		NG_001579	246715
CKS1BP4			100499259
CKS1BP5		NG_027929	100526793
CKS1BP6			652904
CKS1BP7	CKS1, CKS1A	NG_001577	137529
CKS2		NM_001827	1164
CLA3	CPD1		1167
CLAM			373073
CLAPA1			
CLAPA2			
CLAPB1			
CLAPB2			
CLAPG1			
CLAPM1			
CLAPS1			
CLAPS2			
CLASP1		NM_015282	23332
CLASP2		NM_001207044	23122
CLASRP	SFRS16	NM_007056	11129
CLBA1	C14orf79	NM_174891	122616
CLC		NM_001828	1178
CLCA1		NM_001285	1179
CLCA2		NM_006536	9635
CLCA3P	CLCA3	NM_004921	9629
CLCA4		NM_012128	22802
CLCA4-AS1		NR_135837	105378828
CLCC1		NM_015127	23155
CLCF1		NM_013246	23529
CLCN1		NM_000083	1180
CLCN2			1181
CLCN3			1182
CLCN3P1		NG_023786	100419056
CLCN4			1183
CLCN5	NPHL2, NPHL1		1184
CLCN6		NM_001286	1185
CLCN7		NM_001287	1186
CLCNKA			1187
CLCNKB		NM_000085	1188
CLCNL1			
CLCNL2			
CLCP1		NG_002369	266626
CLCP2		NG_011415	100128145
CLCS			
CLD			
CLDN1		NM_021101	9076
CLDN2			9075
CLDN3	C7orf1, CPETR2	NM_001306	1365
CLDN4	CPETR, CPETR1	NM_001305	1364
CLDN5	AWAL, TMVCF	NM_003277	7122
CLDN6		NM_021195	9074
CLDN7	CEPTRL2, CPETRL2	NM_001307	1366
CLDN8		NM_199328	9073
CLDN9		NM_020982	9080
CLDN10		NM_006984	9071
CLDN10-AS1			100874194
CLDN11	OTM	NM_005602	5010
CLDN11CL			
CLDN12		NM_012129	9069
CLDN14	DFNB29	NM_144492	23562
CLDN15		NM_014343	24146
CLDN16		NM_006580	10686
CLDN17		NM_012131	26285
CLDN18	SFTPJ	NM_001002026	51208
CLDN19		NM_148960	149461
CLDN20		NM_001001346	49861
CLDN21			
CLDN22			53842
CLDN23		NM_194284	137075
CLDN24	CLDN21	NM_001185149	100132463
CLDN25		NM_001101389	644672
CLDN34			100288814
CLDND1	C3orf4	NM_019895	56650
CLDND2		NM_152353	125875
CLEC1A		NM_016511	51267
CLEC1B		NM_016509	51266
CLEC2A		NM_207375	387836
CLEC2B	CLECSF2	NM_005127	9976
CLEC2D		NM_013269	29121
CLEC2L		NM_001080511	154790
CLEC3A	CLECSF1	NM_005752	10143
CLEC3B	TNA	NM_003278	7123
CLEC4A	CLECSF6	NM_194450	50856
CLEC4C	CLECSF11, CLECSF7	NM_203503	170482
CLEC4D	CLECSF8	NM_080387	338339
CLEC4E	CLECSF9	NM_014358	26253
CLEC4F	CLECSF13	NM_173535	165530
CLEC4G		NM_198492	339390
CLEC4GP1		NR_002931	440508
CLEC4M	CD209L, CD299	NM_014257	10332
CLEC4O	LINC01835	NM_001302493	102724279
CLEC5A	CLECSF5	NM_013252	23601
CLEC6A	CLECSF10	NM_001007033	93978
CLEC7A	CLECSF12	NM_197954	64581
CLEC9A		NM_207345	283420
CLEC10A	CLECSF13, CLECSF14	NM_006344	10462
CLEC11A	SCGF	NM_002975	6320
CLEC12A		NM_138337	160364
CLEC12A-AS1			400002
CLEC12B		NM_205852	387837
CLEC14A	C14orf27	NM_175060	161198
CLEC16A	KIAA0350	NM_015226	23274
CLEC17A		NM_207390	388512
CLEC18A	MRCL	NM_182619	348174
CLEC18B	MRCL2	NM_001011880	497190
CLEC18C	MRCL3	NM_173619	283971
CLEC19A		NM_001256720	728276
CLEC20A	NCRNA00083, LINC00083		400797
CLECL1		NM_172004	160365
CLECSF11			
CLG			
CLG1			
CLG4A			
CLG4B			
CLGI			
CLGN		NM_004362	1047
CLHC1	C2orf63	NM_152385	130162
CLI			
CLIC1		NM_001288	1192
CLIC1L			
CLIC1P1			390363
CLIC2		NM_001289	1193
CLIC3		NM_004669	9022
CLIC4		NM_013943	25932
CLIC4P1		NG_021641	646609
CLIC4P2		NG_021738	100130584
CLIC4P3		NG_022657	442447
CLIC5			53405
CLIC6	CLIC1L		54102
CLIM1			
CLINT1		NM_014666	9685
CLIP1	RSN	NM_002956	6249
CLIP1-AS1			100507066
CLIP2	WBSCR4, CYLN2, WBSCR3	NM_003388	7461
CLIP3		NM_015526	25999
CLIP4	RSNL2	NM_024692	79745
CLK1			1195
CLK2		NM_003993	1196
CLK2P1	CLK2P	NR_002711	1197
CLK3			1198
CLK3P1		NG_007302	646505
CLK3P2		NG_007301	100128834
CLK4			57396
CLLU1		NR_027932	574028
CLLU1OS		NM_001025232	574016
CLM			
CLMAT3		NR_109873	101927096
CLMN			79789
CLMP		NM_024769	79827
CLN3	BTS		1201
CLN4			
CLN5		NM_006493	1203
CLN6		NM_017882	54982
CLN7	CLN7		
CLN8	EPMR, C8orf61	NM_018941	2055
CLN9			497231
CLNK		NM_052964	116449
CLNS1A	CLCI	NM_001293	1207
CLNS1AP1	CLNS1B	NG_002905	1204
CLOCK		NM_004898	9575
CLP1		NM_006831	10978
CLPA			
CLPB		NM_030813	81570
CLPP		NM_006012	8192
CLPS		NM_001832	1208
CLPSL1	C6orf127	NM_001010886	340204
CLPSL2	C6orf126	NM_207409	389383
CLPTM1		NM_001294	1209
CLPTM1L		NM_030782	81037
CLPTM1LP1			106480241
CLPX		NM_006660	10845
CLRN1	USH3, USH3A, RP61		7401
CLRN1-AS1	CLRN1OS		116933
CLRN2		NM_001079827	645104
CLRN3	TMEM12	NM_152311	119467
CLS			
CLSPN		NM_022111	63967
CLSTN1			22883
CLSTN2		NM_022131	64084
CLSTN2-AS1			101927808
CLSTN3		NM_014718	9746
CLTA		NM_007096	1211
CLTB			1212
